City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,71.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
5,Saint George,US,94.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
7,Atuona,PF,78.3,broken clouds,-9.8,-139.0333,Villa Enata
14,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Mandera,KE,81.19,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
16,Sao Filipe,CV,78.66,scattered clouds,14.8961,-24.4956,Hotel Xaguate
17,Pauini,BR,84.69,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
24,Rikitea,PF,73.9,light rain,-23.1203,-134.9692,People ThankYou
26,Hambantota,LK,80.13,overcast clouds,6.1241,81.1185,Bungalow 63
34,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
39,Ranong,TH,77.95,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
40,Vanimo,PG,79.02,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
42,Ponta Do Sol,PT,70.43,broken clouds,32.6667,-17.1,Hotel do Campo
44,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
48,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
50,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Asilah,MA,66.16,clear sky,35.465,-6.0348,Hotel Zelis
54,Milton,US,78.26,clear sky,34.1322,-84.3007,Children's Cottage Montessori
55,Musoma,TZ,70.88,overcast clouds,-1.5,33.8,New Peninsula Hotel
56,Nhulunbuy,AU,77.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
59,Kalaleh,IR,70.57,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
61,Ribeira Grande,PT,71.24,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
62,Butaritari,KI,82.98,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
64,Havre,FR,65.97,overcast clouds,49.5833,0.3333,gite bois jourdain
65,Nadapuram,IN,75.56,overcast clouds,11.7,75.6667,Fabina Garden
67,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
68,Tura,IN,75.4,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
72,Lagoa,PT,70.52,overcast clouds,39.05,-27.9833,Casa Das Faias
74,Bethel,US,71.08,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
75,Filadelfia,US,75.97,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
77,Puerto Ayora,EC,71.02,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Kilakarai,IN,81.39,overcast clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
83,Pokhara,NP,70.88,overcast clouds,28.2333,83.9833,Butterfly Lodge
85,Lorengau,PG,83.12,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
86,Marsh Harbour,BS,83.21,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
