City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,71.37,80,19,17.52,few clouds
1,Avarua,CK,-21.2078,-159.775,78.85,78,90,16.11,light rain
2,Linares,CL,-35.85,-71.6,58.86,70,63,2.44,broken clouds
3,Hermanus,ZA,-34.4187,19.2345,60.8,87,24,11.1,few clouds
4,Laguna,US,38.421,-121.4238,98.2,34,1,5.01,clear sky
5,Saint George,US,37.1041,-113.5841,94.78,17,1,1.01,clear sky
6,Surgut,RU,61.25,73.4167,30.38,93,0,8.95,clear sky
7,Atuona,PF,-9.8,-139.0333,78.3,76,75,19.86,broken clouds
8,Yellowknife,CA,62.456,-114.3525,46.56,86,53,11.99,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,61.77,72,89,11.23,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,45.48,91,53,6.44,broken clouds
11,Nanortalik,GL,60.1432,-45.2371,37.63,75,1,7.67,clear sky
12,Igrim,RU,63.1906,64.4162,31.37,86,98,5.28,overcast clouds
13,Torbay,CA,47.6666,-52.7314,49.28,85,100,1.01,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,71.26,78,29,18.34,scattered clouds
15,Mandera,KE,3.9366,41.867,81.19,57,91,16.89,overcast clouds
16,Sao Filipe,CV,14.8961,-24.4956,78.66,76,36,4.34,scattered clouds
17,Pauini,BR,-7.7136,-66.9764,84.69,59,86,0.56,overcast clouds
18,Baltay,RU,52.4652,46.6308,51.17,74,98,4.47,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,61,40,19.57,light rain
20,Albany,US,42.6001,-73.9662,69.53,71,93,2.82,overcast clouds
21,Vestmannaeyjar,IS,63.4427,-20.2734,40.66,85,100,2.64,overcast clouds
22,Pangnirtung,CA,66.1451,-65.7125,35.58,55,100,2.51,overcast clouds
23,Khatanga,RU,71.9667,102.5,28.71,92,92,10.07,overcast clouds
24,Rikitea,PF,-23.1203,-134.9692,73.9,76,58,14.74,light rain
25,Atocha,BO,-20.9333,-66.2333,59.97,6,0,9.89,clear sky
26,Hambantota,LK,6.1241,81.1185,80.13,80,96,18.41,overcast clouds
27,Narsaq,GL,60.9167,-46.05,37.62,70,0,2.13,clear sky
28,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,9.22,light intensity drizzle
29,Christchurch,NZ,-43.5333,172.6333,50.92,69,40,4.0,scattered clouds
30,Thompson,CA,55.7435,-97.8558,50.2,66,100,6.22,overcast clouds
31,Lamlash,GB,55.5336,-5.1296,64.36,98,100,11.9,overcast clouds
32,Esperance,AU,-33.8667,121.9,55.51,77,65,19.33,broken clouds
33,Leh,IN,34.1667,77.5833,52.07,43,49,5.14,scattered clouds
34,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
35,Sibolga,ID,1.7427,98.7792,75.7,90,98,2.62,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,48.87,91,98,9.33,overcast clouds
37,Bluff,NZ,-46.6,168.3333,45.81,66,37,14.72,scattered clouds
38,La Ronge,CA,55.1001,-105.2842,64.69,50,50,7.34,scattered clouds
39,Ranong,TH,9.9658,98.6348,77.95,88,100,6.44,light rain
40,Vanimo,PG,-2.6741,141.3028,79.02,89,72,4.43,broken clouds
41,Busselton,AU,-33.65,115.3333,51.08,90,67,4.21,broken clouds
42,Ponta Do Sol,PT,32.6667,-17.1,70.43,75,75,4.23,broken clouds
43,Hobart,AU,-42.8794,147.3294,46.26,73,20,5.01,few clouds
44,Cap Malheureux,MU,-19.9842,57.6142,71.47,74,5,5.01,clear sky
45,Barrow,US,71.2906,-156.7887,28.42,80,90,6.91,overcast clouds
46,New Norfolk,AU,-42.7826,147.0587,45.91,74,28,2.98,scattered clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,34.75,100,100,20.54,light rain
48,Champerico,GT,14.3,-91.9167,88.34,68,98,4.5,overcast clouds
49,Bredasdorp,ZA,-34.5322,20.0403,60.28,93,12,6.15,few clouds
