City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-09-23 21:12:47,38.5167,-28.7,70.48,64,100,6.89
1,Punta Arenas,CL,2021-09-23 21:12:47,-53.15,-70.9167,48.31,57,75,14.97
2,Beringovskiy,RU,2021-09-23 21:03:51,63.05,179.3167,35.8,98,100,11.65
3,Port Elizabeth,ZA,2021-09-23 21:12:48,-33.918,25.5701,62.1,75,43,13.85
4,Qaanaaq,GL,2021-09-23 21:02:54,77.484,-69.3632,16.2,62,97,6.71
5,Carnarvon,AU,2021-09-23 21:03:28,-24.8667,113.6333,66.4,80,0,22.59
6,Busselton,AU,2021-09-23 21:12:49,-33.65,115.3333,43.09,80,0,10.36
7,Havre-Saint-Pierre,CA,2021-09-23 21:12:49,50.2334,-63.5986,50.27,80,100,10.54
8,Hobart,AU,2021-09-23 21:08:22,-42.8794,147.3294,49.86,74,20,3.0
9,Nikolskoye,RU,2021-09-23 21:12:50,59.7035,30.7861,47.01,93,99,9.22
10,Dingle,PH,2021-09-23 21:12:50,10.9995,122.6711,76.01,92,86,5.08
11,Lebu,CL,2021-09-23 21:12:51,-37.6167,-73.65,55.27,70,2,13.35
12,Victoria,HK,2021-09-23 21:12:51,22.2855,114.1577,85.32,85,71,3.0
13,Katsuura,JP,2021-09-23 21:12:52,35.1333,140.3,73.51,79,100,13.02
14,Sarakhs,IR,2021-09-23 21:05:20,36.5449,61.1577,74.73,17,0,5.95
15,Vaini,TO,2021-09-23 21:12:52,-21.2,-175.2,77.16,88,75,9.22
16,Mount Isa,AU,2021-09-23 21:12:53,-20.7333,139.5,46.17,42,10,0.0
17,Barrow,US,2021-09-23 21:12:53,71.2906,-156.7887,28.42,86,90,0.0
18,Rocha,UY,2021-09-23 21:12:54,-34.4833,-54.3333,55.72,92,87,3.13
19,Hermanus,ZA,2021-09-23 21:12:54,-34.4187,19.2345,57.9,89,92,11.72
20,Srednekolymsk,RU,2021-09-23 21:04:32,67.45,153.6833,34.25,89,100,5.08
21,Bengkulu,ID,2021-09-23 21:12:55,-3.8004,102.2655,74.71,89,100,4.32
22,Bredasdorp,ZA,2021-09-23 21:12:55,-34.5322,20.0403,55.27,90,75,7.78
23,Atuona,PF,2021-09-23 21:12:56,-9.8,-139.0333,78.1,74,11,17.45
24,Nha Trang,VN,2021-09-23 21:12:56,12.25,109.1833,77.0,85,100,3.24
25,Yerbogachen,RU,2021-09-23 21:03:55,61.2767,108.0108,37.29,95,100,0.43
26,Arraial Do Cabo,BR,2021-09-23 21:12:57,-22.9661,-42.0278,67.86,56,75,5.75
27,Rikitea,PF,2021-09-23 21:12:57,-23.1203,-134.9692,74.03,74,99,23.2
28,Santa Isabel Do Rio Negro,BR,2021-09-23 21:04:56,-0.4139,-65.0192,78.44,94,91,3.51
29,Gazojak,TM,2021-09-23 21:12:58,41.1875,61.4036,65.8,20,0,13.4
30,Sangar,RU,2021-09-23 21:03:51,63.9242,127.4739,40.21,90,100,3.06
31,Hohhot,CN,2021-09-23 21:09:13,40.8106,111.6522,60.1,84,98,1.39
32,Madoc,CA,2021-09-23 21:12:59,44.5084,-77.4745,65.95,96,100,7.2
33,Vanimo,PG,2021-09-23 21:12:59,-2.6741,141.3028,76.71,90,92,5.32
34,Terrace Bay,CA,2021-09-23 21:13:00,48.7834,-87.1,60.19,46,29,4.25
35,Dawlatabad,AF,2021-09-23 21:13:00,36.4141,64.9053,69.96,19,0,2.77
36,Saskylakh,RU,2021-09-23 21:13:01,71.9167,114.0833,33.57,98,100,10.87
37,Cochrane,CA,2021-09-23 21:10:35,51.1834,-114.4687,58.64,37,76,6.87
38,Longyearbyen,SJ,2021-09-23 21:13:01,78.2186,15.6401,46.24,71,75,20.71
39,Comodoro Rivadavia,AR,2021-09-23 21:13:02,-45.8667,-67.5,67.86,28,0,21.85
40,San Patricio,US,2021-09-23 21:03:14,28.017,-97.5169,89.58,23,9,6.8
41,Bluff,NZ,2021-09-23 21:01:31,-46.6,168.3333,48.79,75,81,24.0
42,Mataura,NZ,2021-09-23 21:13:02,-46.1927,168.8643,48.47,60,41,6.85
43,Riohacha,CO,2021-09-23 21:13:03,11.5444,-72.9072,85.75,70,100,7.54
44,Ushuaia,AR,2021-09-23 21:11:29,-54.8,-68.3,47.82,64,99,9.31
45,Panormos,GR,2021-09-23 21:13:04,35.4182,24.6909,67.86,63,74,16.08
46,Portland,US,2021-09-23 21:09:58,45.5234,-122.6762,74.86,63,75,3.0
47,Cape Town,ZA,2021-09-23 21:12:06,-33.9258,18.4232,60.89,84,91,1.01
48,Norman Wells,CA,2021-09-23 21:13:05,65.282,-126.8329,37.44,76,100,7.0
49,Upernavik,GL,2021-09-23 21:13:05,72.7868,-56.1549,28.58,90,100,9.89
50,Iquique,CL,2021-09-23 21:13:06,-20.2208,-70.1431,59.04,75,35,5.93
51,Nago,JP,2021-09-23 21:03:18,26.5881,127.9761,78.87,67,0,11.95
